timestamp,id,gender,age,education,graphicity,q10,q11,strategy,notice,comments,QUAL_coder1,QUAL_coder2,QUAL_mismatch,QUAL_noticed_truncation
2019-03-14T09:55:34-05:00,5c5378fa54f9d30001db1a73,Female,19,Some college,10,3,2,Comparing the different graphics ,No,No,0,0,FALSE,0
2019-03-14T09:56:00-05:00,5b366ffa06f9f90001fb4f41,Male,18,Some high school,11,1,2,Simple_ i just look ;),They are about health,No thank you,0,0,FALSE,0
2019-03-14T09:56:24-05:00,5b4a1c8a166a4c000141a0bf,Female,18,High school degree,11,3,4,I just estimated ,They changed starting percentage and some of them were raised at the bottom ,No,1,1,FALSE,1
2019-03-14T10:00:40-05:00,5aa46cdb1ade740001b95d5d,Male,24,College degree,11,3,2,My strategy was to to read all questions and charts carefully and I thnk I did my best.,I didnt notice anything wrong about the charts.,Some charts were a bit blurred.,0,0,FALSE,0
2019-03-14T10:00:54-05:00,5c13ea66afe26c00014d8f05,Male,21,Graduate degree,10,3,2,Interpreting the graphs,No,No,0,0,FALSE,0
2019-03-14T10:01:20-05:00,5926e5db121ca6000184c176,Female,34,Graduate degree,13,3,4,None in particular,No,Na,0,0,FALSE,0
2019-03-14T10:02:22-05:00,5b96dd68d193e30001b3cb69,Male,28,Some college,13,3,4,I did not use any particular strategy or procedure. I simply followed the instructions and tried my best to read the charts as I normally would when_ for example_ viewing different types of documents_ doing research_ etc.,No_ I don't think there was anything odd ur unusual about them.,,0,0,FALSE,0
2019-03-14T10:05:07-05:00,5c4321b881cc58000186df28,Female,30,Graduate degree,11,3,3,Looking at the scales,No,,1,0,TRUE,1
2019-03-14T10:07:27-05:00,5c868f27392ce000153ee1ff,Female,58,Some high school,7,2,3,visual,there was a lot of bar charts that looked very similar,i enjoyed the survey,0,0,FALSE,0
2019-03-14T10:09:57-05:00,590631366462090001a7f12a,Female,40,High school degree,11,3,2,My own personal judgement,No,None,0,0,FALSE,0
2019-03-14T10:11:14-05:00,571b99e55d40840011c3de5f,Male,64,College degree,12,3,2,Basic knowledge of data presentation/interpretation over 33 years in science and engineering.,y-axis scale changed frequently,"The added ""Ready"" step/click between charts in part 1 is superfluous_ in my view.",1,1,FALSE,1
