timestamp,experiment,id,ip,gender,age,education,graphicity,q10,q11,strategy,notice,comments
2019-02-28T12:40:11-06:00,pilot,5b5843cbc1d82d00019a37b3,83.27.211.63,Male,19,High school degree,10,3,2,Basic maths and imagination.,Nothing at all.,No_ thank you. 
2019-02-28T12:41:21-06:00,pilot,5bd9e1fb1c736400016269f8,81.82.242.169,Male,20,College degree,11,3,4,Keeping my mind sorted,No,/
2019-02-28T12:41:42-06:00,pilot,5a022d3d728b1b0001ad8b62,93.146.158.12,Male,22,Graduate degree,11,3,2,i just used my background as industrial engineer,no,
2019-02-28T12:41:58-06:00,pilot,5c6b949a23f6300001383a05,131.247.224.59,Female,31,Graduate degree,8,3,2,height and the tilt for the line charts. Height for barchart.

For values I refer the data values available on Y axis to compute the value,In a few line charts_ I noticed that there is no smooth line from 0 to 2 although the change is very small. The relation of data from 0 to 1 and 1 to 2 is different.,nothing as such
2019-02-28T12:44:39-06:00,pilot,5c56f566689bc80001c5bb80,62.85.104.130,Male,27,Graduate degree,12,3,4,After I realized that the axis are not the same in between questions I tried to keep an eye on those_ and tried to base my decisions on the numerical differences in the values,I noticed that the axis did not necceserally start at 0_ and I couldn't quite tell if I was being shown the same chart over and over again or if they had minute differences in some cases,
2019-02-28T12:45:32-06:00,pilot,5c42eda039828800016b2327,134.109.96.169,Male,26,College degree,12,3,3,y-axis readings and trying to scale the values to a normalized scale.,I got lost in the 56 graphs. At some time (around 30) I almost lost hope that there would not be any large difference and got to ask myself: where is the big change? there were almost none (except one at the end)

And also_ the line_ y-scale is confusing_ especially when there is an offset... ,I had fun at the last questions!!!!
But the first 56 (55) graphs looked so close! Luckily the first question was the only one that left me aware of what I was doing!
2019-02-28T12:45:49-06:00,pilot,5c3a028e58231200019ccacb,2.39.194.94,Female,21,College degree,11,3,2,I observed the charts and tried to understand what they were showing_ then I read the tasks and answered,In the first part the test showed me the same charts two times straight ,
2019-02-28T12:46:45-06:00,pilot,5c6ddc09d1a8e800013f0fb9,94.71.74.90,Male,20,College degree,11,3,2,In the graphs segment_ I didn't want to answer on the extreme so I had a more conservative approach.
In the other part_ I just tried to be more observant_ so i could answer correctly,In the second part_ some of the graphs were sub-optimal and they shouldn't be used_ some people could be deceived by them. The first example that comes to mind is the last question.  ,The first part was a bit tiring_ and you were forced to do some questions on the <<auto-pilot>> but probably that's what you wanted for this study. 
Hope I helped you_ have a nice day/night.
2019-02-28T12:46:50-06:00,pilot,5c54ccb01c1e7300011350f9,80.220.179.205,Male,35,College degree,11,3,2,I always tried to check what the exact position the asked thing is_ and trying to determine the scale at the same time.,The scales were different_ sometimes for example 0 to 100% and other times 25 or 50 to 100.,I felt like I could read the statistics well and realised that some people might not do them that well but who knows if it is true.
2019-02-28T12:48:22-06:00,pilot,5bdd1291688d9c000154d7fe,78.145.58.36,Female,27,College degree,8,1,2,Intuition,They were repeating,
2019-02-28T12:48:34-06:00,pilot,5bdb8be5dc922800013c26c3,82.33.120.53,Female,42,College degree,6,1,3,viewing,no,n/a
2019-02-28T12:48:51-06:00,pilot,5b5a39edc83b4d0001b05749,187.189.212.207,Male,29,Some college,12,3,2,I tried to calculate using the info given and basic math. ,Not really,
2019-02-28T12:49:31-06:00,pilot,5c75b9f562c03b001ac30df7,173.206.97.55,Female,30,College degree,10,3,1,I used the percentage values to complete the tasks more accurately. However_ If I had only focused on the graph my answers could have been different.,I noticed that the graph itself can be very misleading_ because the eye will perceive a bigger difference in values by focusing on the distance between the lines or the height of the bars even if the % values are very close. The majority of people don't take a moment to analyze the data and will interpret the results based on a subjective perception.,In the fist part of the test_ I answered based on the graph itself. In the second part of the test_ I answered based on the actual data.
2019-02-28T12:49:39-06:00,pilot,5c750ace4e199a001330c99f,77.167.35.247,Other,19,High school degree,10,3,2,eyeball it,some of them were the same as previous ones,
2019-02-28T12:50:14-06:00,pilot,5c7758ca8b75ee0001b6f644,68.111.162.245,Male,18,High school degree,5,3,2,The strategy I used to complete the task was to focus both the left and right bars in the graph.,No_ everything seemed normal.,This was fun to try.
2019-02-28T12:51:12-06:00,pilot,5c781d84fc6b4f000159ca16,79.79.106.138,Male,39,Some college,12,3,2,I imagined the first 56 questions related to the level of a water tank over a number of days.,The percentage starting points on the graphs differed at times but I assumed that was deliberate. I didn't notice anything else.,I thought this would be mind numbing to begin with but it turned out to be interesting and thought provoking.
2019-02-28T12:53:02-06:00,pilot,5c5b31c415f6c30001de2df5,217.129.2.19,Male,18,High school degree,7,3,2,I mostly just observed the values of the chart and answered what I expected_ paying close attention to the Y axis values.,Yes_ I noticed the manipulation of data with the changes in percentage of the Y axis. ,Nope
2019-02-28T12:54:06-06:00,pilot,5c60a525b726cb00018682f0,2.122.220.71,Female,50,High school degree,11,3,2,Calculated the differences_ looked at percentages ,Yes the value of x Axsis could start at 0_ 25 or 50%,
2019-02-28T13:00:07-06:00,pilot,5bff27de0ef0390001388f0d,82.154.247.56,Male,20,College degree,11,3,2,Attentive observation and putting my fingers on the screen to trying to measure the differences.,I do believe that in the first part of the test you showed me like 5 different informations with just diferent type of graphical setups.,For the commun people Bar graphs are the more legible. The other can create more confusion (and that may be what you want to do)
2019-02-28T14:03:23-06:00,pilot,5c7786e2d44cf1000121bb12,82.29.180.203,Female,33,College degree,11,2,2,looked at the scale on the graphs and guessed midway points.
looked at the numbers and percentages and used my knowledge of maths from school to help me come up with answers,the x axis was different widths
the scale on the y axis started at 25%/50% sometimes
,
2019-02-28T14:19:20-06:00,pilot,5bc5d1925bc1b000019afb3f,46.134.185.170,Male,22,High school degree,12,3,2,I did not have any strategy as task was not complicated to have one,There was different scale so it was important to be careful about that,
